MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39576
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39600
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39696
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39720
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39816
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39840
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=39888
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=39900
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39996
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=40020
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=40116
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=40140
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=40236
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=40260
type=note_on channel=0 note=54 velocity=0 time=156 actual_time=40416
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=40440
type=note_on channel=0 note=54 velocity=0 time=96 actual_time=40536
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=40560
type=note_on channel=0 note=54 velocity=0 time=96 actual_time=40656
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=40680
type=note_on channel=0 note=54 velocity=0 time=96 actual_time=40776
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=40800
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=40848
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=40860
type=note_on channel=0 note=57 velocity=0 time=144 actual_time=41004
type=note_on channel=0 note=57 velocity=80 time=36 actual_time=41040
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=41136
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=41160
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=41208
type=note_on channel=0 note=59 velocity=80 time=12 actual_time=41220
type=note_on channel=0 note=59 velocity=0 time=156 actual_time=41376
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=41400
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=41496
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=41520
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=41568
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=41580
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=41676
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=41700
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=41796
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=41820
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=41916
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=41940
type=note_on channel=0 note=59 velocity=0 time=192 actual_time=42132
type=note_on channel=0 note=59 velocity=80 time=228 actual_time=42360
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=42456
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=42480
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=42576
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=42600
type=note_on channel=0 note=59 velocity=0 time=48 actual_time=42648
type=note_on channel=0 note=59 velocity=80 time=12 actual_time=42660
type=note_on channel=0 note=59 velocity=0 time=168 actual_time=42828
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=42840
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=42936
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=42960
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=43056
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=43080
type=note_on channel=0 note=54 velocity=0 time=48 actual_time=43128
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=43140
type=note_on channel=0 note=57 velocity=0 time=156 actual_time=43296
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=43320
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=43416
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=43440
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=43536
type=note_on channel=0 note=54 velocity=80 time=24 actual_time=43560
type=note_on channel=0 note=54 velocity=0 time=48 actual_time=43608
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=43620
type=note_on channel=0 note=57 velocity=0 time=144 actual_time=43764
type=note_on channel=0 note=57 velocity=80 time=36 actual_time=43800
